Administrative District,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multi-Racial,% Multi-Racial,# Native American,% Native American,# White,% White,# Missing Race/Ethnicity Data,% Missing Race/Ethnicity Data,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
8,2019-20,27411,2777,1802,1848,1887,1972,2075,2157,1978,2063,2102,2080,1722,1550,1398,13394,0.489,14017,0.511,1850,0.067,5639,0.206,17673,0.645,125,0.005,302,0.011,1603,0.058,219,0.008,6306,0.23,3556,0.13,22870,0.834,0.845
8,2020-21,25731,2373,1601,1759,1773,1811,1908,2045,1981,1914,2045,1723,1855,1534,1409,12603,0.49,13128,0.51,1713,0.067,5266,0.205,16661,0.648,167,0.006,304,0.012,1549,0.06,71,0.003,5773,0.224,3491,0.136,21245,0.826,0.831
9,2016-17,36433,2614,2792,3034,2927,2856,2865,2820,2714,2625,2743,2384,2292,1901,1866,17848,0.49,18585,0.51,524,0.014,10410,0.286,24772,0.68,52,0.001,174,0.005,436,0.012,65,0.002,7901,0.217,8477,0.233,32386,0.889,0.87
9,2017-18,35271,2521,2638,2733,2826,2785,2772,2718,2707,2659,2654,2425,2208,1839,1786,17354,0.492,17917,0.508,525,0.015,9808,0.278,24187,0.686,58,0.002,174,0.005,463,0.013,56,0.002,7978,0.226,8132,0.231,32735,0.928,0.932
9,2018-19,34180,2634,2395,2600,2612,2678,2614,2628,2544,2670,2683,2292,2157,1861,1812,16940,0.496,17240,0.504,477,0.014,9421,0.276,23486,0.687,68,0.002,203,0.006,474,0.014,51,0.001,7896,0.231,7648,0.224,31600,0.925,0.931
9,2019-20,33198,3566,2189,2278,2413,2435,2536,2501,2449,2497,2589,2269,2067,1766,1643,16482,0.496,16716,0.504,468,0.014,8902,0.268,22773,0.686,69,0.002,190,0.006,451,0.014,345,0.01,7449,0.224,6823,0.206,30495,0.919,0.938
9,2020-21,31124,3212,1761,2077,2149,2280,2332,2409,2216,2402,2448,2119,2156,1816,1747,15491,0.498,15633,0.502,426,0.014,8290,0.266,21467,0.69,120,0.004,198,0.006,423,0.014,200,0.006,6907,0.222,6558,0.211,28417,0.913,0.93
10,2016-17,57844,3860,4256,4379,4584,4413,4367,4289,3764,3696,3775,4828,4225,3719,3689,28184,0.487,29660,0.513,4228,0.073,9202,0.159,39943,0.691,263,0.005,446,0.008,3406,0.059,356,0.006,11396,0.197,11890,0.206,46194,0.799,0.765
10,2017-18,56752,3743,4110,4230,4191,4335,4278,4201,3936,3825,3796,4595,4267,3617,3628,27734,0.489,29015,0.511,4343,0.077,8772,0.155,39322,0.693,285,0.005,477,0.008,3461,0.061,92,0.002,11258,0.198,11853,0.209,47895,0.844,0.839
10,2018-19,54925,3699,3693,4038,3995,4004,4167,4052,3842,3849,3747,4313,4075,3778,3673,26890,0.49,28035,0.51,4267,0.078,8262,0.15,38231,0.696,316,0.006,473,0.009,3269,0.06,107,0.002,11149,0.203,11328,0.206,45675,0.832,0.833
10,2019-20,53811,4364,3503,3681,3919,3916,3936,4018,3718,3824,3819,4220,3920,3558,3415,26516,0.493,27295,0.507,4107,0.076,8041,0.149,37263,0.692,354,0.007,467,0.009,3212,0.06,367,0.007,10734,0.199,10537,0.196,44864,0.834,0.847
10,2020-21,50700,3419,3141,3407,3478,3723,3748,3761,3666,3541,3740,4103,3921,3616,3436,24881,0.491,25819,0.509,3959,0.078,7484,0.148,35213,0.695,389,0.008,430,0.008,2995,0.059,230,0.005,10162,0.2,10187,0.201,41764,0.824,0.835
11,2016-17,40826,3231,2852,3269,3344,3363,3391,3213,3049,3017,2999,2690,2493,1944,1971,19491,0.477,21333,0.523,3194,0.078,16311,0.4,16997,0.416,212,0.005,519,0.013,3519,0.086,74,0.002,8051,0.197,4384,0.107,29533,0.723,0.653
11,2017-18,40504,3140,2853,3076,3234,3301,3306,3416,3022,3083,3092,2725,2369,1931,1956,19337,0.477,21166,0.523,3289,0.081,15734,0.388,17067,0.421,233,0.006,520,0.013,3582,0.088,79,0.002,8119,0.2,4670,0.115,32222,0.796,0.773
11,2018-19,39666,3020,2848,2992,2944,3130,3295,3222,3189,3037,3105,2670,2316,1918,1980,18832,0.475,20834,0.525,3408,0.086,15103,0.381,16830,0.424,245,0.006,518,0.013,3477,0.088,85,0.002,8099,0.204,4666,0.118,31079,0.784,0.773
11,2019-20,38538,3173,2610,2931,2853,2869,3108,3202,3016,3170,3094,2653,2211,1904,1744,18388,0.477,20150,0.523,3451,0.09,14385,0.373,16412,0.426,273,0.007,478,0.012,3446,0.089,93,0.002,7688,0.199,4316,0.112,30805,0.799,0.795
11,2020-21,36222,2553,2360,2520,2788,2743,2774,3001,2888,2935,3167,2421,2301,1951,1820,17372,0.48,18850,0.52,3335,0.092,13039,0.36,15745,0.435,298,0.008,459,0.013,3264,0.09,82,0.002,7392,0.204,4316,0.119,28798,0.795,0.785
12,2016-17,24354,1434,1760,1945,1952,1936,1855,1821,1686,1618,1703,1752,1862,1544,1486,11947,0.491,12407,0.509,612,0.025,6074,0.249,17002,0.698,48,0.002,277,0.011,315,0.013,26,0.001,5474,0.225,4754,0.195,21556,0.885,0.855
12,2017-18,23401,1418,1617,1751,1889,1873,1891,1841,1609,1705,1645,1508,1691,1508,1455,11442,0.489,11959,0.511,642,0.027,5760,0.246,16314,0.697,59,0.003,263,0.011,341,0.015,22,0.001,5286,0.226,4670,0.2,21689,0.927,0.929
12,2018-19,21955,1303,1566,1614,1695,1845,1815,1763,1552,1566,1665,1459,1449,1320,1343,10687,0.487,11268,0.513,631,0.029,5284,0.241,15354,0.699,63,0.003,258,0.012,339,0.015,26,0.001,5112,0.233,4472,0.204,20233,0.922,0.927
12,2019-20,20980,1480,1493,1511,1574,1634,1778,1758,1505,1528,1571,1381,1464,1210,1093,10243,0.488,10737,0.512,627,0.03,4993,0.238,14613,0.697,65,0.003,229,0.011,303,0.014,150,0.007,4834,0.23,4142,0.197,19390,0.924,0.935
12,2020-21,19245,1046,1248,1473,1437,1522,1569,1692,1414,1454,1501,1162,1386,1211,1130,9440,0.491,9805,0.509,607,0.032,4521,0.235,13434,0.698,79,0.004,229,0.012,285,0.015,90,0.005,4449,0.231,3945,0.205,17696,0.92,0.933
13,2016-17,21878,1257,1132,1132,1196,1144,1168,1052,733,650,707,3143,3049,2666,2849,10425,0.477,11452,0.523,4335,0.198,9963,0.455,3602,0.165,384,0.018,177,0.008,3233,0.148,184,0.008,3129,0.143,967,0.044,14093,0.644,0.551
13,2017-18,21658,1261,1131,1126,1076,1123,1082,1098,733,691,622,3051,3152,2762,2750,10196,0.471,11460,0.529,4425,0.204,9493,0.438,3582,0.165,398,0.018,149,0.007,3495,0.161,116,0.005,3111,0.144,940,0.043,14484,0.669,0.632
13,2018-19,21772,1311,1158,1155,1089,1024,1101,1026,710,697,688,2974,3079,2881,2879,10198,0.468,11573,0.532,4468,0.205,9118,0.419,3700,0.17,486,0.022,157,0.007,3718,0.171,125,0.006,3171,0.146,905,0.042,14106,0.648,0.617
13,2019-20,21437,1410,1068,1147,1115,1048,997,1064,695,678,687,3021,2964,2787,2756,10068,0.47,11369,0.53,4493,0.21,8589,0.401,3600,0.168,522,0.024,153,0.007,3905,0.182,175,0.008,2973,0.139,835,0.039,13486,0.629,0.615
13,2020-21,20653,1181,1047,949,1040,1011,969,957,681,660,672,2874,3051,2818,2743,9813,0.475,10840,0.525,4343,0.21,8118,0.393,3583,0.173,559,0.027,167,0.008,3637,0.176,246,0.012,2860,0.138,875,0.042,12761,0.618,0.597
14,2016-17,19630,1461,1258,1260,1283,1290,1303,1215,1163,1292,1283,1752,1791,1681,1598,9321,0.475,10309,0.525,910,0.046,4304,0.219,11257,0.573,185,0.009,89,0.005,2794,0.142,91,0.005,4075,0.208,2164,0.11,13342,0.68,0.675
14,2017-18,18831,1435,1227,1211,1229,1213,1252,1235,1194,1141,1290,1596,1654,1469,1685,8968,0.476,9862,0.524,949,0.05,3934,0.209,10762,0.572,184,0.01,91,0.005,2819,0.15,92,0.005,3912,0.208,2116,0.112,14016,0.744,0.763
14,2018-19,18510,1414,1192,1257,1210,1226,1224,1200,1276,1183,1134,1651,1525,1470,1548,8799,0.475,9711,0.525,985,0.053,3716,0.201,10547,0.57,191,0.01,92,0.005,2890,0.156,89,0.005,3906,0.211,2002,0.108,13448,0.727,0.75
14,2019-20,18311,1732,1171,1147,1195,1162,1165,1165,1195,1231,1161,1662,1577,1355,1393,8863,0.484,9448,0.516,1028,0.056,3545,0.194,10124,0.553,258,0.014,94,0.005,3036,0.166,226,0.012,3770,0.206,1808,0.099,13259,0.724,0.756
14,2020-21,17576,1502,1086,1053,1069,1096,1115,1105,1143,1181,1207,1643,1572,1460,1344,8442,0.48,9134,0.52,1050,0.06,3452,0.196,9532,0.542,327,0.019,97,0.006,2935,0.167,183,0.01,3708,0.211,1724,0.098,12592,0.716,0.741
15,2016-17,33083,2799,3154,3190,3130,3089,3030,2809,2032,1922,1731,1764,1710,1418,1305,16679,0.504,16404,0.496,5377,0.163,4701,0.142,12233,0.37,805,0.024,115,0.003,9699,0.293,153,0.005,6356,0.192,5341,0.161,17581,0.531,0.508
15,2017-18,33200,2728,3117,3123,3051,3054,2994,2953,2108,1981,1914,1665,1746,1442,1324,16730,0.504,16467,0.496,5358,0.161,4642,0.14,12004,0.362,916,0.028,137,0.004,9995,0.301,148,0.004,6539,0.197,5026,0.151,19223,0.579,0.587
15,2018-19,33220,2694,3040,3060,3016,2916,2952,2872,2362,2047,1967,1717,1837,1378,1362,16794,0.506,16426,0.494,5404,0.163,4520,0.136,11834,0.356,996,0.03,134,0.004,10195,0.307,137,0.004,6689,0.201,4598,0.138,18794,0.566,0.574
15,2019-20,33140,3046,2921,2962,2926,2896,2811,2866,2193,2274,2017,1670,1799,1466,1293,16620,0.502,16520,0.498,5495,0.166,4231,0.128,11589,0.35,1117,0.034,145,0.004,10260,0.31,303,0.009,6812,0.206,4272,0.129,18391,0.555,0.578
15,2020-21,31261,2496,2594,2687,2676,2699,2710,2633,2104,2085,2217,1519,1809,1565,1467,15653,0.501,15608,0.499,5281,0.169,4028,0.129,11115,0.356,1183,0.038,148,0.005,9250,0.296,256,0.008,6527,0.209,4380,0.14,17432,0.558,0.572
16,2016-17,7209,747,506,511,574,553,558,520,360,372,364,496,453,527,668,3407,0.473,3802,0.527,137,0.019,5395,0.748,1372,0.19,43,0.006,78,0.011,170,0.024,14,0.002,1826,0.253,335,0.046,5858,0.813,0.794
16,2017-18,6839,689,524,478,496,583,509,507,307,320,362,503,479,461,621,3219,0.471,3620,0.529,148,0.022,5068,0.741,1320,0.193,35,0.005,69,0.01,178,0.026,21,0.003,1801,0.263,329,0.048,5881,0.86,0.865
16,2018-19,6745,957,456,477,480,509,568,476,308,308,320,372,408,424,682,3222,0.478,3523,0.522,146,0.022,4928,0.731,1318,0.195,53,0.008,76,0.011,208,0.031,16,0.002,1713,0.254,311,0.046,5655,0.838,0.846
16,2019-20,6656,1187,456,453,465,453,481,554,276,317,306,455,389,336,528,3170,0.476,3486,0.524,142,0.021,4748,0.713,1320,0.198,62,0.009,68,0.01,256,0.038,60,0.009,1625,0.244,323,0.049,5431,0.816,0.844
16,2020-21,6302,1029,446,434,431,455,432,470,348,287,307,388,411,442,422,3018,0.479,3284,0.521,146,0.023,4434,0.704,1270,0.202,72,0.011,62,0.01,268,0.043,50,0.008,1477,0.234,324,0.051,5146,0.817,0.811
17,2016-17,23764,2163,1421,1386,1535,1495,1503,1478,1585,1520,1793,2004,2085,1854,1942,11747,0.494,12017,0.506,684,0.029,18087,0.761,3592,0.151,119,0.005,291,0.012,890,0.037,101,0.004,4263,0.179,2458,0.103,18589,0.782,0.677
17,2017-18,22534,1919,1351,1377,1328,1453,1415,1414,1499,1561,1508,1960,1989,1821,1939,11261,0.5,11272,0.5,666,0.03,16882,0.749,3526,0.156,139,0.006,304,0.013,917,0.041,100,0.004,4150,0.184,2475,0.11,18635,0.827,0.779
17,2018-19,21984,1944,1174,1295,1297,1346,1433,1381,1565,1496,1564,1884,1937,1753,1915,11034,0.502,10950,0.498,658,0.03,16343,0.743,3512,0.16,167,0.008,289,0.013,914,0.042,101,0.005,4092,0.186,2277,0.104,17600,0.801,0.769
17,2019-20,21544,2303,1163,1114,1220,1227,1266,1317,1519,1546,1480,1951,1918,1714,1806,10883,0.505,10661,0.495,646,0.03,15764,0.732,3398,0.158,172,0.008,296,0.014,1037,0.048,231,0.011,3946,0.183,2007,0.093,17108,0.794,0.784
17,2020-21,20533,1862,1028,1128,1034,1201,1178,1231,1388,1474,1533,2032,1859,1768,1817,10400,0.507,10133,0.493,625,0.03,14702,0.716,3461,0.169,236,0.011,273,0.013,1027,0.05,209,0.01,3867,0.188,1962,0.096,16195,0.789,0.763
18,2016-17,16508,1464,1045,1120,1183,1165,1331,1178,1112,1058,1175,1171,1265,1066,1175,8058,0.488,8450,0.512,236,0.014,14284,0.865,1176,0.071,76,0.005,182,0.011,501,0.03,53,0.003,3030,0.184,980,0.059,12508,0.758,0.594
18,2017-18,15707,1404,975,1047,1074,1160,1155,1236,1086,1113,1062,1120,1147,994,1134,7585,0.483,8122,0.517,271,0.017,13406,0.854,1176,0.075,80,0.005,208,0.013,531,0.034,35,0.002,3079,0.196,1107,0.07,12397,0.789,0.721
18,2018-19,15006,1320,883,955,1046,1083,1141,1102,1094,1088,1104,1013,1092,980,1105,7207,0.48,7799,0.52,286,0.019,12673,0.845,1183,0.079,78,0.005,179,0.012,565,0.038,42,0.003,3009,0.201,1116,0.074,11623,0.775,0.72
18,2019-20,13951,1493,786,825,912,984,1058,1065,952,1099,1066,914,908,902,987,6653,0.477,7298,0.523,307,0.022,11685,0.838,1144,0.082,84,0.006,117,0.008,560,0.04,54,0.004,2785,0.2,952,0.068,10811,0.775,0.749
18,2020-21,12602,1118,772,764,786,880,931,1013,942,940,1057,863,893,770,873,6037,0.479,6565,0.521,286,0.023,10372,0.823,1155,0.092,95,0.008,113,0.009,525,0.042,56,0.004,2556,0.203,902,0.072,9659,0.766,0.729
19,2016-17,23428,1988,1721,1836,1792,1838,1892,1812,1690,1585,1676,1547,1451,1198,1402,11170,0.477,12258,0.523,1786,0.076,10728,0.458,10036,0.428,69,0.003,326,0.014,434,0.019,49,0.002,4868,0.208,2962,0.126,19669,0.84,0.778
19,2017-18,22742,1823,1670,1677,1750,1706,1835,1804,1655,1684,1574,1466,1462,1305,1331,10966,0.482,11776,0.518,1800,0.079,10012,0.44,10011,0.44,70,0.003,349,0.015,450,0.02,50,0.002,4857,0.214,3027,0.133,20188,0.888,0.872
19,2018-19,22174,1832,1481,1596,1616,1679,1670,1738,1621,1687,1697,1597,1440,1171,1349,10586,0.477,11588,0.523,1757,0.079,9490,0.428,9985,0.45,81,0.004,332,0.015,470,0.021,59,0.003,4809,0.217,3036,0.137,19591,0.884,0.867
19,2019-20,22173,2826,1421,1452,1534,1558,1623,1612,1593,1621,1649,1584,1454,1194,1052,10622,0.479,11551,0.521,1844,0.083,9253,0.417,9885,0.446,91,0.004,331,0.015,473,0.021,296,0.013,4576,0.206,2799,0.126,19452,0.877,0.879
19,2020-21,20872,2330,1230,1358,1379,1432,1485,1545,1424,1563,1587,1641,1511,1233,1154,9896,0.474,10976,0.526,1786,0.086,8544,0.409,9418,0.451,174,0.008,323,0.015,440,0.021,187,0.009,4361,0.209,2698,0.129,18181,0.871,0.864
20,2016-17,54379,4251,4251,4091,4330,4095,4167,4102,3996,3932,3915,3645,3775,2827,3002,26126,0.48,28253,0.52,23532,0.433,1640,0.03,14115,0.26,248,0.005,157,0.003,14503,0.267,184,0.003,8099,0.149,13035,0.24,38214,0.703,0.625
20,2017-18,54156,4119,4352,4214,4001,4221,4008,4091,4123,3998,3994,3648,3579,2711,3097,26078,0.482,28075,0.518,23563,0.435,1536,0.028,14151,0.261,276,0.005,170,0.003,14301,0.264,159,0.003,8340,0.154,12740,0.235,42279,0.781,0.766
20,2018-19,53980,4238,3884,4354,4085,3949,4167,3979,4148,4120,4046,3764,3594,2660,2992,25901,0.48,28079,0.52,23562,0.436,1388,0.026,14307,0.265,317,0.006,173,0.003,14065,0.261,168,0.003,8647,0.16,11909,0.221,41643,0.771,0.761
20,2019-20,54077,4531,3920,3861,4276,4050,3948,4150,4018,4162,4173,3849,3640,2769,2730,26009,0.481,28068,0.519,23665,0.438,1300,0.024,14511,0.268,362,0.007,189,0.003,13870,0.256,180,0.003,8615,0.159,11029,0.204,41532,0.768,0.773
20,2020-21,52641,4184,3719,3800,3683,4101,3948,3860,4061,3982,4119,3772,3640,2963,2809,25365,0.482,27276,0.518,23201,0.441,1258,0.024,14064,0.267,424,0.008,197,0.004,13295,0.253,202,0.004,8502,0.162,11853,0.225,39766,0.755,0.746
21,2016-17,37345,3023,2193,2237,2270,2240,2294,2043,3091,2954,2903,3492,3260,2777,2568,18194,0.487,19151,0.513,9242,0.247,5663,0.152,9346,0.25,176,0.005,197,0.005,12444,0.333,277,0.007,6785,0.182,6283,0.168,25175,0.674,0.614
21,2017-18,37423,2980,2278,2187,2212,2287,2241,2223,3113,3053,2990,3347,3281,2520,2711,18120,0.484,19297,0.516,9515,0.254,5391,0.144,9270,0.248,203,0.005,203,0.005,12535,0.335,306,0.008,6824,0.182,6352,0.17,27990,0.748,0.735
21,2018-19,37136,2979,2131,2275,2161,2179,2269,2237,3214,3105,3082,3296,3085,2544,2579,17996,0.485,19140,0.515,9489,0.256,5094,0.137,9197,0.248,238,0.006,216,0.006,12603,0.339,299,0.008,6952,0.187,6454,0.174,27062,0.729,0.732
21,2019-20,37073,3145,2208,2150,2193,2173,2177,2258,3240,3229,3115,3423,2977,2409,2376,18108,0.488,18965,0.512,9546,0.257,4794,0.129,9249,0.249,282,0.008,233,0.006,12582,0.339,387,0.01,6806,0.184,6296,0.17,27251,0.735,0.749
21,2020-21,36039,2746,1924,2086,2043,2070,2094,2082,3304,3157,3172,3261,3238,2436,2426,17598,0.488,18441,0.512,9386,0.26,4548,0.126,9056,0.251,301,0.008,281,0.008,12059,0.335,408,0.011,6505,0.18,6796,0.189,25756,0.715,0.731
22,2016-17,35679,2809,2662,2804,2871,2777,2931,2782,2088,2096,2134,2710,2727,2137,2151,17580,0.493,18098,0.507,6950,0.195,11367,0.319,5422,0.152,307,0.009,245,0.007,11259,0.316,129,0.004,5895,0.165,3966,0.111,24024,0.673,0.525
22,2017-18,35692,2788,2663,2688,2779,2824,2802,2869,2065,2130,2104,2815,2737,2293,2135,17598,0.493,18091,0.507,7171,0.201,10851,0.304,5518,0.155,341,0.01,253,0.007,11415,0.32,143,0.004,6031,0.169,4237,0.119,25642,0.718,0.649
22,2018-19,35570,2858,2528,2691,2620,2726,2797,2793,2057,2076,2130,2867,2827,2279,2321,17629,0.496,17941,0.504,7386,0.208,10294,0.289,5482,0.154,409,0.011,280,0.008,11554,0.325,165,0.005,6070,0.171,4131,0.116,25020,0.703,0.644
22,2019-20,34997,3068,2526,2554,2623,2569,2636,2759,2008,2026,2054,2617,2832,2382,2343,17322,0.495,17675,0.505,7418,0.212,9621,0.275,5472,0.156,432,0.012,275,0.008,11632,0.332,147,0.004,6099,0.174,3980,0.114,24374,0.696,0.66
22,2020-21,33431,2697,2264,2398,2409,2500,2464,2550,1960,1983,1986,2629,2706,2490,2395,16477,0.493,16954,0.507,7353,0.22,8942,0.267,5157,0.154,445,0.013,294,0.009,11031,0.33,209,0.006,5836,0.175,4148,0.124,22918,0.686,0.634
23,2016-17,9667,815,675,767,792,753,758,690,894,906,857,383,465,432,480,4480,0.463,5187,0.537,111,0.011,7228,0.748,2043,0.211,36,0.004,110,0.011,121,0.013,18,0.002,2384,0.247,444,0.046,8677,0.898,0.82
23,2017-18,9539,1047,632,683,714,766,727,694,863,878,883,352,436,394,470,4394,0.461,5145,0.539,108,0.011,7111,0.745,2032,0.213,43,0.005,98,0.01,129,0.014,18,0.002,2449,0.257,447,0.047,8684,0.91,0.893
23,2018-19,9290,1385,608,632,671,700,716,649,846,860,839,371,345,326,342,4306,0.464,4984,0.536,122,0.013,6899,0.743,1968,0.212,50,0.005,109,0.012,126,0.014,16,0.002,2367,0.255,444,0.048,8345,0.898,0.885
23,2019-20,9199,1655,597,589,620,622,668,653,764,841,837,366,327,308,352,4141,0.45,5058,0.55,121,0.013,6698,0.728,1976,0.215,56,0.006,101,0.011,133,0.014,114,0.012,2234,0.243,430,0.047,8115,0.882,0.893
23,2020-21,8309,1097,567,562,561,607,599,641,705,749,818,388,343,351,321,3767,0.453,4542,0.547,117,0.014,5969,0.718,1834,0.221,110,0.013,91,0.011,129,0.016,59,0.007,1993,0.24,413,0.05,7253,0.873,0.887
24,2016-17,61268,4009,4914,5124,5047,5157,5083,4803,4344,4356,4258,3935,3683,3152,3403,28976,0.473,32292,0.527,12309,0.201,1642,0.027,38110,0.622,197,0.003,256,0.004,8522,0.139,232,0.004,9941,0.162,13737,0.224,42405,0.692,0.573
24,2017-18,60732,3980,4774,4852,4904,4947,5084,4768,4314,4446,4362,4090,3542,3173,3496,28782,0.474,31948,0.526,12254,0.202,1574,0.026,37797,0.622,234,0.004,314,0.005,8295,0.137,264,0.004,10195,0.168,13223,0.218,47586,0.784,0.733
24,2018-19,59578,4035,4520,4612,4704,4797,4897,4830,4220,4439,4419,3909,3730,2962,3504,28230,0.474,31348,0.526,11824,0.198,1514,0.025,37413,0.628,251,0.004,325,0.005,7966,0.134,285,0.005,10217,0.171,12795,0.215,45397,0.762,0.725
24,2019-20,58313,4239,4348,4475,4516,4604,4754,4557,4250,4369,4475,3863,3582,3148,3133,27789,0.477,30524,0.523,11495,0.197,1444,0.025,36724,0.63,246,0.004,332,0.006,7694,0.132,378,0.006,10025,0.172,12291,0.211,44650,0.766,0.74
